COMPANY_NK;LEDGER;BUDGET_NK;PROFIT_CENTER_NK;ACCOUNT_NK;PERIOD_START_DATE_NK;PERIOD_END_DATE_NK;CURRENCY_NK;DEBIT;CREDIT;BALANCE;DEBIT_LOCAL;CREDIT_LOCAL;BALANCE_LOCAL;BUDGET_AMOUNT;BUDGET_AMOUNT_LOCAL
01;GL;Unspecified;01;01-01-1220-01;2011/11/01;2011/11/30;USD;0;0;-3959.8;0;0;-3959.8;0;0
01;GL;Unspecified;01;01-01-1220-01;2011/12/01;2011/12/31;USD;0;0;-3959.8;0;0;-3959.8;0;0
01;GL;Unspecified;01;01-01-1000-01;2012/01/01;2012/01/31;USD;0;0;-4201841.5;0;0;-4201841.5;0;0
01;GL;Unspecified;01;01-01-1000-01;2012/02/01;2012/02/29;USD;0;0;-4201841.5;0;0;-4201841.5;0;0
01;GL;Unspecified;01;01-01-1000-01;2012/03/01;2012/03/31;USD;0;0;-4201841.5;0;0;-4201841.5;0;0
01;GL;Unspecified;01;01-01-1000-01;2012/04/01;2012/04/30;USD;0;0;-4201841.5;0;0;-4201841.5;0;0
01;GL;Unspecified;01;01-01-1000-01;2012/05/01;2012/05/31;USD;0;0;-4201841.5;0;0;-4201841.5;0;0
01;GL;Unspecified;01;01-01-1000-01;2012/06/01;2012/06/30;USD;0;0;-4201841.5;0;0;-4201841.5;0;0
01;GL;Unspecified;01;01-01-1000-01;2012/07/01;2012/07/31;USD;0;0;-4201841.5;0;0;-4201841.5;0;0
01;GL;Unspecified;01;01-01-1000-01;2012/08/01;2012/08/31;USD;0;0;-4201841.5;0;0;-4201841.5;0;0
01;GL;Unspecified;01;01-01-1000-01;2012/09/01;2012/09/30;USD;0;0;-4201841.5;0;0;-4201841.5;0;0
01;GL;Unspecified;01;01-01-1000-01;2012/10/01;2012/10/31;USD;0;0;-4201841.5;0;0;-4201841.5;0;0
01;GL;Default;01;01-01-1000-01;2012/11/01;2012/11/30;USD;0;0;-4201841.5;0;0;-4201841.5;60;60
01;GL;Unspecified;01;01-01-1000-01;2012/12/01;2012/12/31;USD;0;0;-4201841.5;0;0;-4201841.5;0;0
01;GL;Unspecified;01;01-01-3030-01;2005/11/01;2005/11/30;USD;0;0;5000;0;0;5000;0;0
01;GL;Unspecified;01;01-01-3030-01;2005/12/01;2005/12/31;USD;0;0;5000;0;0;5000;0;0
01;GL;Unspecified;01;01-01-3030-01;2012/01/01;2012/01/31;USD;0;0;3834455.8;0;0;3834455.8;0;0
01;GL;Unspecified;01;01-01-3030-01;2012/02/01;2012/02/29;USD;0;0;3834455.8;0;0;3834455.8;0;0
01;GL;Unspecified;01;01-01-3030-01;2012/03/01;2012/03/31;USD;0;0;3834455.8;0;0;3834455.8;0;0
01;GL;Unspecified;01;01-01-3030-01;2012/04/01;2012/04/30;USD;0;0;3834455.8;0;0;3834455.8;0;0
01;GL;Unspecified;01;01-01-3030-01;2012/05/01;2012/05/31;USD;0;0;3834455.8;0;0;3834455.8;0;0
01;GL;Unspecified;01;01-01-3030-01;2012/06/01;2012/06/30;USD;0;0;3834455.8;0;0;3834455.8;0;0
01;GL;Unspecified;01;01-01-4010-01;2010/06/01;2010/06/30;USD;0;0;2025;0;0;2025;0;0
01;GL;Unspecified;01;01-01-4010-01;2010/07/01;2010/07/31;USD;0;0;2025;0;0;2025;0;0
01;GL;Unspecified;01;01-01-4010-01;2011/07/01;2011/07/31;USD;0;0;103350;0;0;103350;0;0
01;GL;Unspecified;01;01-01-4010-01;2011/08/01;2011/08/31;USD;0;0;103350;0;0;103350;0;0
01;GL;Unspecified;01;01-01-4010-01;2011/09/01;2011/09/30;USD;0;0;103350;0;0;103350;0;0
01;GL;Unspecified;01;01-01-4010-01;2011/10/01;2011/10/31;USD;0;0;103350;0;0;103350;0;0
01;GL;Unspecified;01;01-01-4010-01;2011/11/01;2011/11/30;USD;0;0;103350;0;0;103350;0;0
01;GL;Unspecified;01;01-01-4010-01;2011/12/01;2011/12/31;USD;0;0;103350;0;0;103350;0;0
01;GL;Unspecified;01;01-01-1280-01;2009/09/01;2009/09/30;USD;821.6;821.6;0;821.6;821.6;0;0;0
01;GL;Unspecified;01;01-01-6050-01;2007/11/01;2007/11/30;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-2320-01;2008/08/01;2008/08/31;USD;0;0;4543.3;0;0;4543.3;0;0
01;GL;Unspecified;01;01-01-2000-01;2011/07/01;2011/07/31;USD;1000;0;-1000;1000;0;-1000;0;0
01;GL;Unspecified;01;01-01-2000-01;2011/08/01;2011/08/31;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-2000-01;2011/09/01;2011/09/30;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-2000-01;2011/10/01;2011/10/31;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-2000-01;2011/11/01;2011/11/30;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-2000-01;2011/12/01;2011/12/31;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-2000-01;2012/01/01;2012/01/31;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-2000-01;2012/02/01;2012/02/29;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-2000-01;2012/03/01;2012/03/31;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-2000-01;2012/04/01;2012/04/30;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-1215-01;2007/01/01;2007/01/31;USD;100;0;-100;100;0;-100;0;0
01;GL;Unspecified;01;01-01-1215-01;2007/02/01;2007/02/28;USD;0;0;-100;0;0;-100;0;0
01;GL;Unspecified;01;01-01-1215-01;2008/04/01;2008/04/30;USD;2306.2;5407;-21015.1;2306.2;5407;-21015.1;0;0
01;GL;Unspecified;01;01-01-4000-01;2005/01/01;2005/09/30;USD;2000;8000;6000;2000;8000;6000;0;0
01;GL;Unspecified;01;01-01-4005-01;2011/08/01;2011/08/31;USD;0;0;733038.4;0;0;733038.4;0;0
01;GL;Unspecified;01;01-01-4005-01;2011/09/01;2011/09/30;USD;0;0;733038.4;0;0;733038.4;0;0
01;GL;Unspecified;01;01-01-4005-01;2011/10/01;2011/10/31;USD;0;0;733038.4;0;0;733038.4;0;0
01;GL;Unspecified;01;01-01-4005-01;2011/11/01;2011/11/30;USD;0;0;733038.4;0;0;733038.4;0;0
01;GL;Unspecified;01;01-01-4005-01;2011/12/01;2011/12/31;USD;0;0;733038.4;0;0;733038.4;0;0
01;GL;Unspecified;01;01-01-8910-01;2011/06/01;2011/06/30;USD;0;77000;77000;0;77000;77000;0;0
01;GL;Unspecified;01;01-01-8910-01;2011/07/01;2011/07/31;USD;0;0;77000;0;0;77000;0;0
01;GL;Unspecified;01;01-01-8910-01;2011/08/01;2011/08/31;USD;0;0;77000;0;0;77000;0;0
01;GL;Unspecified;01;01-01-8910-01;2011/09/01;2011/09/30;USD;0;0;77000;0;0;77000;0;0
01;GL;Unspecified;01;01-01-8910-01;2011/10/01;2011/10/31;USD;0;0;77000;0;0;77000;0;0
01;GL;Unspecified;01;01-01-8910-01;2011/11/01;2011/11/30;USD;0;0;77000;0;0;77000;0;0
01;GL;Unspecified;01;01-01-8910-01;2011/12/01;2011/12/31;USD;0;0;77000;0;0;77000;0;0
01;GL;Unspecified;01;01-01-8910-01;2005/12/01;2005/12/31;USD;25;15;-10;25;15;-10;0;0
01;GL;Unspecified;01;01-01-8910-01;2010/10/01;2010/10/31;USD;0;0;1900;0;0;1900;0;0
01;GL;demomfg;01;01-01-5000-01;2011/11/01;2011/11/30;USD;0;0;-429654.1;0;0;-429654.1;-600000;-600000
01;GL;Unspecified;02;01-02-1240-01;2009/10/01;2009/10/31;USD;153.8;102.5;-795.6;153.8;102.5;-795.6;0;0
01;GL;Unspecified;02;01-02-1240-01;2010/04/01;2010/04/30;USD;0;0;-790.5;0;0;-790.5;0;0
01;GL;Unspecified;02;01-02-1240-01;2010/05/01;2010/05/31;USD;0;0;-790.5;0;0;-790.5;0;0
01;GL;Unspecified;02;01-02-1240-01;2010/06/01;2010/06/30;USD;0;0;-790.5;0;0;-790.5;0;0
01;GL;Unspecified;02;01-02-1240-01;2010/07/01;2010/07/31;USD;0;0;-790.5;0;0;-790.5;0;0
01;GL;Unspecified;02;01-02-1240-01;2010/08/01;2010/08/31;USD;0;0;-790.5;0;0;-790.5;0;0
01;GL;Unspecified;02;01-02-1240-01;2010/09/01;2010/09/30;USD;0;0;-790.5;0;0;-790.5;0;0
01;GL;Unspecified;02;01-02-1240-01;2010/10/01;2010/10/31;USD;0;0;-790.5;0;0;-790.5;0;0
01;GL;Unspecified;01;01-01-2330-01;2012/11/01;2012/11/30;USD;0;0;3400;0;0;3400;0;0
01;GL;Unspecified;01;01-01-2330-01;2012/12/01;2012/12/31;USD;0;0;3400;0;0;3400;0;0
01;GL;Unspecified;01;01-01-8930-01;2005/12/01;2005/12/31;USD;1.1;0;-1.1;1.1;0;-1.1;0;0
01;GL;Unspecified;01;01-01-8990-01;2011/12/01;2011/12/31;USD;0;0;1228.2;0;0;1228.2;0;0
01;GL;Unspecified;01;01-01-2210-01;2011/01/01;2011/01/31;USD;0;0;20227.6;0;0;20227.6;0;0
01;GL;Unspecified;01;01-01-2210-01;2011/02/01;2011/02/28;USD;0;0;20227.6;0;0;20227.6;0;0
01;GL;Unspecified;01;01-01-2210-01;2011/03/01;2011/03/31;USD;20227.6;21450;21450;20227.6;21450;21450;0;0
01;GL;Unspecified;01;01-01-2210-01;2011/04/01;2011/04/30;USD;21450;0;0;21450;0;0;0;0
01;GL;Unspecified;01;01-01-5000-01;2005/10/01;2005/10/31;USD;1000;0;-4000;1000;0;-4000;0;0
01;GL;demomfg;01;01-01-5000-01;2011/09/01;2011/09/30;USD;0;0;-429654.1;0;0;-429654.1;-580000;-580000
01;GL;demomfg;01;01-01-5000-01;2011/10/01;2011/10/31;USD;0;0;-429654.1;0;0;-429654.1;-600000;-600000
01;GL;Unspecified;01;01-01-5000-01;2006/05/01;2006/05/31;USD;15000;0;-48873;15000;0;-48873;0;0
01;GL;Unspecified;01;01-01-5000-01;2006/06/01;2006/06/30;USD;215000;0;-263873;215000;0;-263873;0;0
01;GL;Unspecified;01;01-01-5000-01;2006/07/01;2006/07/31;USD;150492.4;0;-414365.4;150492.4;0;-414365.4;0;0
01;GL;Unspecified;01;01-01-5000-01;2006/08/01;2006/08/31;USD;150000;0;-564365.4;150000;0;-564365.4;0;0
01;GL;Unspecified;01;01-01-5000-01;2006/10/01;2006/10/31;USD;30638.2;0;-610003.5;30638.2;0;-610003.5;0;0
01;GL;Unspecified;01;01-01-5000-01;2006/11/01;2006/11/30;USD;15000;0;-625003.5;15000;0;-625003.5;0;0
01;GL;Unspecified;01;01-01-5000-01;2007/02/01;2007/02/28;USD;16276.4;0;-31914.5;16276.4;0;-31914.5;0;0
01;GL;Unspecified;01;01-01-5000-01;2007/03/01;2007/03/31;USD;15000;0;-46914.5;15000;0;-46914.5;0;0
01;GL;Unspecified;01;01-01-5000-01;2007/04/01;2007/04/30;USD;6381.8;0;-53296.3;6381.8;0;-53296.3;0;0
01;GL;Unspecified;01;01-01-5000-01;2007/05/01;2007/05/31;USD;3829.1;0;-57125.4;3829.1;0;-57125.4;0;0
01;GL;Unspecified;01;01-01-5000-01;2007/06/01;2007/06/30;USD;15000;0;-72125.4;15000;0;-72125.4;0;0
01;GL;Unspecified;01;01-01-5000-01;2007/07/01;2007/07/31;USD;15000;0;-87125.4;15000;0;-87125.4;0;0
01;GL;Unspecified;01;01-01-5000-01;2007/08/01;2007/08/31;USD;15638.2;0;-102763.6;15638.2;0;-102763.6;0;0
01;GL;Unspecified;01;01-01-5000-01;2007/09/01;2007/09/30;USD;45888.2;0;-148651.8;45888.2;0;-148651.8;0;0
01;GL;Unspecified;01;01-01-5000-01;2007/10/01;2007/10/31;USD;45250;0;-193901.8;45250;0;-193901.8;0;0
01;GL;Unspecified;01;01-01-5000-01;2007/11/01;2007/11/30;USD;45250;0;-239151.8;45250;0;-239151.8;0;0
01;GL;Unspecified;01;01-01-5000-01;2007/12/01;2007/12/31;USD;35322.1;0;-274473.9;35322.1;0;-274473.9;0;0
01;GL;demomfg;01;01-01-5000-01;2011/05/01;2011/05/31;USD;0;0;-99654.1;0;0;-99654.1;-400000;-400000
01;GL;demomfg;01;01-01-5000-01;2011/06/01;2011/06/30;USD;330000;0;-429654.1;330000;0;-429654.1;-450000;-450000
01;GL;demomfg;01;01-01-5000-01;2011/07/01;2011/07/31;USD;0;0;-429654.1;0;0;-429654.1;-500000;-500000
01;GL;demomfg;01;01-01-5000-01;2011/08/01;2011/08/31;USD;0;0;-429654.1;0;0;-429654.1;-550000;-550000
01;GL;Unspecified;01;01-01-1500-01;2012/01/01;2012/01/31;USD;0;0;-145999.8;0;0;-145999.8;0;0
01;GL;Unspecified;01;01-01-1500-01;2012/02/01;2012/02/29;USD;0;0;-145999.8;0;0;-145999.8;0;0
01;GL;Unspecified;01;01-01-1500-01;2012/03/01;2012/03/31;USD;0;0;-145999.8;0;0;-145999.8;0;0
01;GL;Unspecified;01;01-01-1500-01;2012/04/01;2012/04/30;USD;0;0;-145999.8;0;0;-145999.8;0;0
01;GL;Unspecified;01;01-01-1500-01;2012/05/01;2012/05/31;USD;0;0;-145999.8;0;0;-145999.8;0;0
01;GL;Unspecified;01;01-01-1500-01;2012/06/01;2012/06/30;USD;0;0;-145999.8;0;0;-145999.8;0;0
01;GL;Unspecified;01;01-01-1500-01;2012/07/01;2012/07/31;USD;0;0;-145999.8;0;0;-145999.8;0;0
01;GL;Unspecified;01;01-01-1500-01;2012/08/01;2012/08/31;USD;0;0;-145999.8;0;0;-145999.8;0;0
01;GL;Unspecified;01;01-01-1500-01;2012/09/01;2012/09/30;USD;0;0;-145999.8;0;0;-145999.8;0;0
01;GL;Unspecified;01;01-01-1500-01;2012/10/01;2012/10/31;USD;0;0;-145999.8;0;0;-145999.8;0;0
01;GL;Unspecified;01;01-01-1500-01;2012/11/01;2012/11/30;USD;0;0;-145999.8;0;0;-145999.8;0;0
01;GL;Unspecified;01;01-01-1500-01;2012/12/01;2012/12/31;USD;0;0;-145999.8;0;0;-145999.8;0;0
01;GL;Unspecified;01;01-01-3010-01;2012/01/01;2012/01/31;USD;0;0;1420000;0;0;1420000;0;0
01;GL;Unspecified;01;01-01-3010-01;2012/02/01;2012/02/29;USD;0;0;1420000;0;0;1420000;0;0
01;GL;Unspecified;01;01-01-6750-01;2007/09/01;2007/09/30;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-6750-01;2007/10/01;2007/10/31;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-3010-01;2012/10/01;2012/10/31;USD;0;0;1420000;0;0;1420000;0;0
01;GL;Unspecified;01;01-01-3010-01;2012/11/01;2012/11/30;USD;0;0;1420000;0;0;1420000;0;0
01;GL;Unspecified;01;01-01-3010-01;2012/12/01;2012/12/31;USD;0;0;1420000;0;0;1420000;0;0
01;GL;Unspecified;01;01-01-2700-01;2012/01/01;2012/01/31;USD;0;0;40000;0;0;40000;0;0
01;GL;Unspecified;01;01-01-2700-01;2012/02/01;2012/02/29;USD;0;0;40000;0;0;40000;0;0
01;GL;Unspecified;01;01-01-2700-01;2012/03/01;2012/03/31;USD;0;0;40000;0;0;40000;0;0
01;GL;Unspecified;01;01-01-2700-01;2012/04/01;2012/04/30;USD;0;0;40000;0;0;40000;0;0
01;GL;Unspecified;01;01-01-2700-01;2012/05/01;2012/05/31;USD;0;0;40000;0;0;40000;0;0
01;GL;Unspecified;01;01-01-2700-01;2012/06/01;2012/06/30;USD;0;0;40000;0;0;40000;0;0
01;GL;Unspecified;01;01-01-2700-01;2012/07/01;2012/07/31;USD;0;0;40000;0;0;40000;0;0
01;GL;Unspecified;01;01-01-2700-01;2012/08/01;2012/08/31;USD;0;0;40000;0;0;40000;0;0
01;GL;Unspecified;01;01-01-2700-01;2012/09/01;2012/09/30;USD;0;0;40000;0;0;40000;0;0
01;GL;Unspecified;01;01-01-2700-01;2012/10/01;2012/10/31;USD;0;0;40000;0;0;40000;0;0
01;GL;Unspecified;01;01-01-2700-01;2012/11/01;2012/11/30;USD;0;0;40000;0;0;40000;0;0
01;GL;Unspecified;01;01-01-2700-01;2012/12/01;2012/12/31;USD;0;0;40000;0;0;40000;0;0
01;GL;Unspecified;01;01-01-6000-01;2005/11/01;2005/11/30;USD;500;0;-500;500;0;-500;0;0
01;GL;Unspecified;01;01-01-6000-01;2005/12/01;2005/12/31;USD;200;0;-700;200;0;-700;0;0
01;GL;Unspecified;01;01-01-3010-01;2005/10/01;2005/10/31;USD;0;10000;20000;0;10000;20000;0;0
01;GL;Unspecified;01;01-01-6050-01;2007/04/01;2007/04/30;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-6050-01;2007/05/01;2007/05/31;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-6050-01;2007/06/01;2007/06/30;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-6050-01;2007/07/01;2007/07/31;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-6050-01;2007/09/01;2007/09/30;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-6050-01;2007/10/01;2007/10/31;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-1020-01;2011/09/01;2011/09/30;USD;0;0;-1456338;0;0;-1456338;0;0
01;GL;Unspecified;01;01-01-1020-01;2011/10/01;2011/10/31;USD;0;0;-1456338;0;0;-1456338;0;0
01;GL;Unspecified;01;01-01-1020-01;2011/11/01;2011/11/30;USD;0;0;-1456338;0;0;-1456338;0;0
01;GL;Unspecified;01;01-01-1020-01;2011/12/01;2011/12/31;USD;0;0;-1456338;0;0;-1456338;0;0
01;GL;Unspecified;01;01-01-1020-01;2012/01/01;2012/01/31;USD;0;0;-1456338;0;0;-1456338;0;0
01;GL;Unspecified;01;01-01-1020-01;2012/02/01;2012/02/29;USD;0;0;-1456338;0;0;-1456338;0;0
01;GL;Unspecified;01;01-01-3030-01;2012/07/01;2012/07/31;USD;0;0;3834455.8;0;0;3834455.8;0;0
01;GL;Unspecified;01;01-01-3030-01;2012/08/01;2012/08/31;USD;0;0;3834455.8;0;0;3834455.8;0;0
01;GL;Unspecified;01;01-01-3030-01;2012/09/01;2012/09/30;USD;0;0;3834455.8;0;0;3834455.8;0;0
01;GL;Unspecified;01;01-01-3030-01;2012/10/01;2012/10/31;USD;0;0;3834455.8;0;0;3834455.8;0;0
01;GL;Unspecified;01;01-01-3030-01;2012/11/01;2012/11/30;USD;0;0;3834455.8;0;0;3834455.8;0;0
01;GL;Unspecified;01;01-01-3030-01;2012/12/01;2012/12/31;USD;0;0;3834455.8;0;0;3834455.8;0;0
01;GL;Unspecified;01;01-01-4060-01;2011/03/01;2011/03/31;USD;0;1500;1500;0;1500;1500;0;0
01;GL;Unspecified;01;01-01-4950-01;2010/01/01;2010/01/31;USD;12.1;12.1;0;12.1;12.1;0;0;0
01;GL;Unspecified;01;01-01-2320-01;2012/09/01;2012/09/30;USD;0;0;20216.1;0;0;20216.1;0;0
01;GL;Unspecified;01;01-01-2320-01;2012/10/01;2012/10/31;USD;0;0;20216.1;0;0;20216.1;0;0
01;GL;Unspecified;01;01-01-2320-01;2012/11/01;2012/11/30;USD;0;0;20216.1;0;0;20216.1;0;0
01;GL;Unspecified;01;01-01-2320-01;2012/12/01;2012/12/31;USD;0;0;20216.1;0;0;20216.1;0;0
01;GL;Unspecified;01;01-01-1020-01;2011/07/01;2011/07/31;USD;0;0;-1456338;0;0;-1456338;0;0
01;GL;Unspecified;01;01-01-1020-01;2011/08/01;2011/08/31;USD;0;0;-1456338;0;0;-1456338;0;0
01;GL;Unspecified;01;01-01-4810-01;2011/06/01;2011/06/30;USD;2970;0;-10591.5;2970;0;-10591.5;0;0
01;GL;Unspecified;01;01-01-4810-01;2011/07/01;2011/07/31;USD;0;0;-10591.5;0;0;-10591.5;0;0
01;GL;Unspecified;01;01-01-4810-01;2011/08/01;2011/08/31;USD;0;0;-10591.5;0;0;-10591.5;0;0
01;GL;Unspecified;01;01-01-4800-01;2011/08/01;2011/08/31;USD;0;0;-185150;0;0;-185150;0;0
01;GL;Unspecified;01;01-01-4800-01;2011/09/01;2011/09/30;USD;0;0;-185150;0;0;-185150;0;0
01;GL;Unspecified;01;01-01-4800-01;2011/10/01;2011/10/31;USD;0;0;-185150;0;0;-185150;0;0
01;GL;Unspecified;01;01-01-4800-01;2011/11/01;2011/11/30;USD;0;0;-185150;0;0;-185150;0;0
01;GL;Unspecified;01;01-01-4800-01;2011/12/01;2011/12/31;USD;0;0;-185150;0;0;-185150;0;0
01;GL;Unspecified;01;01-01-4900-01;2009/07/01;2009/07/31;USD;0;0;863.6;0;0;863.6;0;0
01;GL;Unspecified;01;01-01-2700-01;2006/03/01;2006/03/31;USD;0;0;5000;0;0;5000;0;0
01;GL;Unspecified;01;01-01-1000-01;2005/12/01;2005/12/31;USD;1015210.7;23988.6;-1009222.1;1015210.7;23988.6;-1009222.1;0;0
01;GL;Unspecified;01;01-01-1000-01;2007/04/01;2007/04/30;USD;44811.5;1700;-2578626.5;44811.5;1700;-2578626.5;0;0
01;GL;Unspecified;01;01-01-1000-01;2007/05/01;2007/05/31;USD;12754.6;4276.5;-2587104.6;12754.6;4276.5;-2587104.6;0;0
01;GL;Unspecified;01;01-01-1400-01;2011/02/01;2011/02/28;USD;0;0;100;0;0;100;0;0
01;GL;Unspecified;01;01-01-1400-01;2011/03/01;2011/03/31;USD;0;0;100;0;0;100;0;0
01;GL;Unspecified;01;01-01-1400-01;2011/04/01;2011/04/30;USD;0;0;100;0;0;100;0;0
01;GL;Unspecified;01;01-01-1400-01;2011/05/01;2011/05/31;USD;0;0;100;0;0;100;0;0
01;GL;Unspecified;01;01-01-1400-01;2011/06/01;2011/06/30;USD;0;0;100;0;0;100;0;0
01;GL;Unspecified;01;01-01-1400-01;2011/07/01;2011/07/31;USD;0;1000;1100;0;1000;1100;0;0
01;GL;Unspecified;01;01-01-1400-01;2011/08/01;2011/08/31;USD;0;0;1100;0;0;1100;0;0
01;GL;Unspecified;01;01-01-1400-01;2011/09/01;2011/09/30;USD;0;0;1100;0;0;1100;0;0
01;GL;Unspecified;01;01-01-1400-01;2011/10/01;2011/10/31;USD;0;0;1100;0;0;1100;0;0
01;GL;Unspecified;01;01-01-1400-01;2011/11/01;2011/11/30;USD;0;0;1100;0;0;1100;0;0
01;GL;Unspecified;01;01-01-1400-01;2011/12/01;2011/12/31;USD;0;0;1100;0;0;1100;0;0
01;GL;Unspecified;01;01-01-1400-01;2012/01/01;2012/01/31;USD;0;0;1100;0;0;1100;0;0
01;GL;Unspecified;01;01-01-4810-01;2011/09/01;2011/09/30;USD;0;0;-10591.5;0;0;-10591.5;0;0
01;GL;Unspecified;01;01-01-4810-01;2011/10/01;2011/10/31;USD;0;0;-10591.5;0;0;-10591.5;0;0
01;GL;Unspecified;01;01-01-4810-01;2011/11/01;2011/11/30;USD;0;0;-10591.5;0;0;-10591.5;0;0
01;GL;Unspecified;01;01-01-4810-01;2011/12/01;2011/12/31;USD;0;0;-10591.5;0;0;-10591.5;0;0
01;GL;Unspecified;01;01-01-1500-01;2006/12/01;2006/12/31;USD;0;0;-1000;0;0;-1000;0;0
01;GL;Unspecified;01;01-01-2330-01;2011/05/01;2011/05/31;USD;0;0;3400;0;0;3400;0;0
01;GL;Unspecified;01;01-01-2330-01;2011/06/01;2011/06/30;USD;0;0;3400;0;0;3400;0;0
01;GL;Unspecified;01;01-01-2330-01;2011/07/01;2011/07/31;USD;0;0;3400;0;0;3400;0;0
01;GL;Unspecified;01;01-01-2330-01;2011/08/01;2011/08/31;USD;0;0;3400;0;0;3400;0;0
01;GL;Unspecified;01;01-01-2330-01;2011/09/01;2011/09/30;USD;0;0;3400;0;0;3400;0;0
